,bee_type,bee_id,bee_parent,itr,candidate,fitness,center_fitness,epochs,weights_filename,time
0,EmployeeBee,0.0,-,0.0,input|sep5x5_128|dropout|sep5x5_128|sep3x3_32|output,0.6489999890327454,0.6489999890327454,5.0,4302e820efdc6f6869cd30388f4848cf01801184.h5,415.9751925468445
1,EmployeeBee,1.0,-,0.0,input|sep3x3_32|batch_norm|sep5x5_32|batch_norm|output,0.6086000204086304,0.6086000204086304,5.0,df0902635740e58564ca91fd54c69a766c977a67.h5,371.2307868003845
2,OnlookerBee,0.0,1,0.0,input|max_pool3x3|batch_norm|sep5x5_32|batch_norm|output,0.6337000131607056,0.6337000131607056,5.0,e758c58758f10e11f751a85fbaf88483221421a8.h5,368.1760859489441
3,OnlookerBee,1.0,1,0.0,input|max_pool3x3|batch_norm|dropout|batch_norm|output,0.5845000147819519,0.6337000131607056,5.0,1ca0b8428c4ee80a9385ae5d46a5f6a731bf7e4b.h5,361.56147503852844
4,OnlookerBee,2.0,1,0.0,input|sep5x5_32|batch_norm|sep5x5_32|batch_norm|output,0.6367999911308289,0.6367999911308289,5.0,d2eccc4dc9953c5d9ce9089ec6c955ad653ec20e.h5,370.16627168655396
5,EmployeeBee,0.0,-,1.0,input|sep5x5_128|sep3x3_128|sep5x5_128|sep3x3_32|output,0.6144000291824341,0.6489999890327454,5.0,e2a9ddb7cacc26be1b2b6fe51d106deb4b44c0ff.h5,406.414448261261
6,EmployeeBee,1.0,-,1.0,input|sep3x3_32|sep3x3_32|sep3x3_32|avg_pool3x3|output,0.6283000111579895,0.6283000111579895,5.0,e350d7a573c2524c7cabd53d7caeaf040e38d3b1.h5,369.9081108570099
7,OnlookerBee,0.0,1,1.0,input|avg_pool3x3|sep3x3_32|sep3x3_32|avg_pool3x3|output,0.6341999769210815,0.6341999769210815,5.0,74db6e6c30db6269a26fa6380d85823422e81b88.h5,370.1702563762665
8,OnlookerBee,1.0,1,1.0,input|avg_pool3x3|sep5x5_128|sep3x3_32|avg_pool3x3|output,0.6474999785423279,0.6474999785423279,5.0,3a35dbaeb97e5255cf4c7cf3ff96ffd1e9df5629.h5,381.6206839084625
9,OnlookerBee,2.0,1,1.0,input|sep5x5_32|sep5x5_128|sep3x3_32|avg_pool3x3|output,0.642799973487854,0.6474999785423279,5.0,b73b1a178aa562c3bb7ce842ad36fd4f2d8088a7.h5,383.9419848918915
10,EmployeeBee,0.0,-,2.0,input|sep5x5_128|dropout|sep5x5_128|sep3x3_64|output,0.6276999711990356,0.6489999890327454,5.0,5872c657c15af464e5e517867fb8f19f5045e5c2.h5,473.05589962005615
11,EmployeeBee,1.0,-,2.0,input|sep3x3_64|max_pool3x3|avg_pool3x3|sep3x3_128|output,0.6412000060081482,0.6412000060081482,5.0,d28a6cfe37d6047f96070d74a3b8cae651fbdb3a.h5,423.684623003006
12,OnlookerBee,0.0,0,2.0,input|sep3x3_64|dropout|sep5x5_128|sep3x3_32|output,0.6414999961853027,0.6489999890327454,5.0,94ab924aa8a35fc976f8fbe2abbe9f82d4bba6c6.h5,388.5647463798523
13,OnlookerBee,1.0,0,2.0,input|sep5x5_128|sep3x3_32|sep5x5_128|sep3x3_32|output,0.6022999882698059,0.6489999890327454,5.0,4f674da077dc24bd89b2374ba1a55729d3049c99.h5,394.3624641895294
14,OnlookerBee,2.0,1,2.0,input|sep3x3_64|max_pool3x3|sep3x3_32|sep3x3_128|output,0.6406999826431274,0.6412000060081482,5.0,4a8cf6c626f72ca4830717a1bacd22ada9986c66.h5,423.19275403022766
15,EmployeeBee,0.0,-,3.0,input|batch_norm|sep5x5_64|sep5x5_128|sep3x3_64|output,0.621399998664856,0.621399998664856,5.0,9b573271dc60b7b63e7f8775868658d4e468684d.h5,401.48799419403076
16,EmployeeBee,1.0,-,3.0,input|dropout|max_pool3x3|avg_pool3x3|sep3x3_128|output,0.6316999793052673,0.6412000060081482,5.0,fc08c5a4a65541b639ef2afa1254201f4c5135c8.h5,413.9789946079254
17,OnlookerBee,0.0,1,3.0,input|dropout|max_pool3x3|avg_pool3x3|sep3x3_128|output,0.6154000163078308,0.6412000060081482,5.0,fc08c5a4a65541b639ef2afa1254201f4c5135c8.h5,414.13255763053894
18,OnlookerBee,1.0,0,3.0,input|batch_norm|sep5x5_128|sep5x5_128|sep3x3_64|output,0.6435999870300293,0.6435999870300293,5.0,7d30ba3849e5210ca6657c7faf0e7bb4749c5c8b.h5,410.3176281452179
19,OnlookerBee,2.0,1,3.0,input|max_pool3x3|max_pool3x3|avg_pool3x3|sep3x3_128|output,0.6660000085830688,0.6660000085830688,5.0,ac68569ea2d43cbfec49aa1d7ccd4fe7d2d69e69.h5,471.1442503929138
20,EmployeeBee,0.0,-,4.0,input|batch_norm|sep5x5_128|sep5x5_64|sep3x3_64|output,0.6444000005722046,0.6444000005722046,5.0,2c0d68a560a2d579a0009eb4e320bfeb817b0a8f.h5,404.8748068809509
21,EmployeeBee,1.0,-,4.0,input|sep5x5_32|dropout|sep5x5_128|sep3x3_64|output,0.6097000241279602,0.6097000241279602,5.0,58899833007ccb9d3d4cc9249fef40cdd3aa0878.h5,396.22470450401306
22,OnlookerBee,0.0,0,4.0,input|batch_norm|sep5x5_128|sep3x3_128|sep3x3_64|output,0.6707000136375427,0.6707000136375427,5.0,0e037bea71545f2f85430745c98dfd82cbe050c4.h5,405.09929847717285
23,OnlookerBee,1.0,0,4.0,input|batch_norm|sep5x5_128|sep3x3_128|sep5x5_64|output,0.6582000255584717,0.6707000136375427,5.0,14828c012f6c8c21d7a76c2cca157325db63c26f.h5,410.5159213542938
24,OnlookerBee,2.0,1,4.0,input|sep5x5_32|sep3x3_64|sep5x5_128|sep3x3_64|output,0.6036999821662903,0.6097000241279602,5.0,9b5c55012da5c306c687b1a1142d7d7ce11c1f1a.h5,408.1043574810028
25,EmployeeBee,0.0,-,5.0,input|sep5x5_64|sep3x3_32|avg_pool3x3|sep3x3_64|output,0.6474999785423279,0.6474999785423279,5.0,4bd204889b3ecf89b65715e502beb53e0a467457.h5,394.972695350647
26,EmployeeBee,1.0,-,5.0,input|sep5x5_32|dropout|sep5x5_128|sep3x3_128|output,0.618399977684021,0.618399977684021,5.0,172867b04f73072ab28703444ffcf53b93858b68.h5,486.74149918556213
27,OnlookerBee,0.0,1,5.0,input|sep5x5_32|dropout|sep5x5_128|sep5x5_64|output,0.6269000172615051,0.6269000172615051,5.0,cbac903fef4f83b262f7935e0713de017d80ab70.h5,408.1954348087311
28,OnlookerBee,1.0,0,5.0,input|sep5x5_64|sep3x3_32|avg_pool3x3|sep5x5_64|output,0.6312999725341797,0.6474999785423279,5.0,7b3b028b44fdcff6bedbb04f87333779327e2fab.h5,400.04540157318115
