,bee_type,bee_id,bee_parent,itr,candidate,fitness,center_fitness,epochs,params,weights_filename,time
0,EmployeeBee,0.0,-,0.0,input|sep3x3_32|sep3x3_64|dropout|max_pool3x3|output,0.6718999743461609,0.6718999743461609,5.0,59518058.0,cfb2d7f0bda7dab221bb1d66b2f41405b0fabd59.h5,388.19268012046814
1,EmployeeBee,1.0,-,0.0,input|sep5x5_128|sep3x3_64|batch_norm|dropout|output,0.6592000126838684,0.6592000126838684,4.0,59528874.0,4eb8d77cd876584237313b77d4c84ac09e330547.h5,305.64823269844055
2,OnlookerBee,0.0,0,0.0,input|sep3x3_32|sep3x3_64|sep5x5_64|max_pool3x3|output,0.6704999804496765,0.6718999743461609,5.0,59523818.0,1669c788ea058b9c6c6d8274798594749b84b863.h5,383.12924575805664
3,OnlookerBee,1.0,1,0.0,input|sep5x5_128|sep3x3_64|sep5x5_64|dropout|output,0.6323000192642212,0.6592000126838684,4.0,59534506.0,c32b31206c638c777bd0257a98c146316c51d0c7.h5,312.121426820755
4,OnlookerBee,2.0,0,0.0,input|sep3x3_32|sep3x3_32|dropout|max_pool3x3|output,0.6419000029563904,0.6718999743461609,4.0,30025802.0,87185d351e13f4117d6d3a55f0a81749fc735529.h5,285.6963601112366
5,EmployeeBee,0.0,-,1.0,input|sep3x3_64|sep3x3_64|sep3x3_64|dropout|output,0.6399000287055969,0.6399000287055969,4.0,59526186.0,6a9b0173b547e96292841cabe487545f8fb2c95c.h5,303.705757856369
6,EmployeeBee,1.0,-,1.0,input|sep5x5_128|sep3x3_64|batch_norm|sep3x3_64|output,0.14740000665187836,0.6592000126838684,1.0,59533610.0,a186dc6c718653597d8f6e6c976045e870e789da.h5,78.77927136421204
7,OnlookerBee,0.0,0,1.0,input|sep3x3_64|sep3x3_64|sep5x5_128|dropout|output,0.6685000061988831,0.6685000061988831,5.0,118513770.0,3cfb33f6c8d3581615dcda4da5300fdfd74ad0aa.h5,406.511022567749
8,OnlookerBee,1.0,1,1.0,input|sep3x3_128|sep3x3_64|batch_norm|dropout|output,0.34940001368522644,0.6592000126838684,1.0,59528362.0,f0e6598e2c9a8ce78ccb4ed198a7fe28db0d8f75.h5,78.1484432220459
9,OnlookerBee,2.0,1,1.0,input|sep5x5_128|max_pool3x3|batch_norm|dropout|output,0.6488999724388123,0.6592000126838684,4.0,118501994.0,5a6f700dcfe5824e7ceab298bdab5aa44e6395e2.h5,316.2934021949768
10,EmployeeBee,0.0,-,2.0,input|max_pool3x3|sep3x3_64|sep5x5_128|dropout|output,0.6797999739646912,0.6797999739646912,5.0,118509034.0,4d1a6c84c2f7d01d96b1d699acbc017db86f7acb.h5,399.5141017436981
11,EmployeeBee,1.0,-,2.0,input|sep3x3_128|batch_norm|sep5x5_128|max_pool3x3|output,0.6413000226020813,0.6413000226020813,4.0,118521194.0,9b6ed0c5760dff4bf0b6474c6190e922ef8519f8.h5,327.2431902885437
12,OnlookerBee,0.0,0,2.0,input|max_pool3x3|sep3x3_128|sep5x5_128|dropout|output,0.7092999815940857,0.7092999815940857,5.0,118520938.0,eecf4023defa84d2723c4f554fe53c108d4b54cf.h5,406.1545808315277
13,OnlookerBee,1.0,1,2.0,input|batch_norm|batch_norm|sep5x5_128|max_pool3x3|output,0.5842000246047974,0.6413000226020813,4.0,118501866.0,c08cd3a11bb0b1db7d28e1bc8d5979bd858c2155.h5,315.57318449020386
14,OnlookerBee,2.0,1,2.0,input|sep3x3_128|batch_norm|sep5x5_128|sep5x5_32|output,0.30550000071525574,0.6413000226020813,1.0,30054922.0,1d3b396844f5a9546fc9ea85506112efba5f25d8.h5,84.15578985214233
15,EmployeeBee,0.0,-,3.0,input|sep3x3_128|sep3x3_64|dropout|sep5x5_128|output,0.6735000014305115,0.6735000014305115,5.0,118520554.0,d7489828e285297bf84f822da6e727504e2d2824.h5,408.7289915084839
16,EmployeeBee,1.0,-,3.0,input|sep5x5_32|sep5x5_32|sep3x3_32|avg_pool3x3|output,0.5863999724388123,0.5863999724388123,4.0,30028170.0,4cf808682063c62a8ae77191ec6f69439add8176.h5,290.9035439491272
17,OnlookerBee,0.0,1,3.0,input|sep5x5_32|sep5x5_32|sep3x3_128|avg_pool3x3|output,0.6507999897003174,0.6507999897003174,4.0,118504938.0,d10355950739d9a8f22f291512c8eae6aab0240a.h5,321.6878354549408
18,OnlookerBee,1.0,1,3.0,input|sep3x3_64|sep5x5_32|sep3x3_128|avg_pool3x3|output,0.6459000110626221,0.6507999897003174,5.0,118507306.0,afd12231a6da20b501112bf0f7ef84200e5fd055.h5,405.73530292510986
19,OnlookerBee,2.0,1,3.0,input|sep3x3_128|sep5x5_32|sep3x3_128|avg_pool3x3|output,0.6435999870300293,0.6507999897003174,4.0,118513066.0,d8b259643130a332af42356d0dbe0d8bdf99800e.h5,331.67486238479614
20,EmployeeBee,0.0,-,4.0,input|sep3x3_128|sep3x3_64|sep3x3_32|sep5x5_128|output,0.10000000149011612,0.6735000014305115,1.0,118518314.0,9f6185fce83e329d03f230e0f900daf1b32c3165.h5,84.3180456161499
21,EmployeeBee,1.0,-,4.0,input|sep5x5_128|sep3x3_32|sep3x3_32|sep3x3_64|output,0.5713000297546387,0.5713000297546387,3.0,59528362.0,8ee4f89366475d3ee2b8ff683d6ada7faca02bdc.h5,232.6695637702942
22,OnlookerBee,0.0,1,4.0,input|sep5x5_128|sep3x3_32|sep5x5_64|sep3x3_64|output,0.5577999949455261,0.5713000297546387,3.0,59532266.0,68cafae0d7643fa3c0742f4135a78540a338858f.h5,235.36087703704834
23,OnlookerBee,1.0,0,4.0,input|sep3x3_128|sep3x3_64|sep5x5_128|sep5x5_128|output,0.5498999953269958,0.6735000014305115,3.0,118540266.0,b0fcc9c2ca653b9b07dcd5483245c8a5214de146.h5,257.808922290802
24,OnlookerBee,2.0,0,4.0,input|sep3x3_128|sep3x3_64|sep3x3_128|sep5x5_128|output,0.10000000149011612,0.6735000014305115,1.0,118539242.0,6b43ed2b28dc99ec5ebe40074f0e071d973a4273.h5,87.5111870765686
