,bee_type,bee_id,bee_parent,itr,candidate,fitness,center_fitness,epochs,params,weights_filename,time
0,EmployeeBee,0.0,-,0.0,input|batch_norm|dropout|dropout|sep3x3_128|batch_norm|output,0.359499990940094,0.359499990940094,1.0,118501546.0,51337cf1db30fb363f90add4531a208a77d55ee5.h5,103.6017553806305
1,EmployeeBee,1.0,-,0.0,input|dropout|sep5x5_64|sep3x3_64|sep5x5_64|max_pool3x3|output,0.6485000252723694,0.6485000252723694,5.0,59527722.0,f6b86a98e117df27cc4da0640d605979f83eb7c2.h5,490.27087211608887
2,EmployeeBee,2.0,-,0.0,input|sep5x5_64|avg_pool3x3|sep5x5_128|sep5x5_64|dropout|output,0.6495000123977661,0.6495000123977661,4.0,59538602.0,52050c6f93cf87f71479326db587406376657cc1.h5,333.97431802749634
3,OnlookerBee,0.0,0,0.0,input|batch_norm|dropout|dropout|dropout|batch_norm|output,0.5619000196456909,0.5619000196456909,3.0,30023242.0,38e70976ce92962cd1cdff5979c9e9da15e32106.h5,223.3498613834381
4,OnlookerBee,1.0,0,0.0,input|batch_norm|dropout|dropout|max_pool3x3|batch_norm|output,0.517300009727478,0.5619000196456909,3.0,30023242.0,8ed05e222227d49b4b3a33a2db23f710d55199f1.h5,223.12041401863098
5,OnlookerBee,2.0,0,0.0,input|batch_norm|dropout|dropout|sep5x5_64|batch_norm|output,0.5268999934196472,0.5619000196456909,3.0,59517418.0,853b061f1726f4c946d1dcf2827021a0ee481e1c.h5,228.99098443984985
6,OnlookerBee,3.0,0,0.0,input|batch_norm|max_pool3x3|dropout|dropout|batch_norm|output,0.6093999743461609,0.6093999743461609,4.0,30023242.0,060b4417d2fb4cc269845e3b903aa766e5b132da.h5,291.96702694892883
7,EmployeeBee,0.0,-,1.0,input|batch_norm|batch_norm|dropout|sep3x3_128|max_pool3x3|output,0.5439000129699707,0.5439000129699707,3.0,118501354.0,67b095cef84db160c10b1d5a0ba60c0dd1ac0f71.h5,243.1574170589447
8,EmployeeBee,1.0,-,1.0,input|dropout|sep3x3_128|sep3x3_64|sep5x5_64|max_pool3x3|output,0.6825000047683716,0.6825000047683716,5.0,59533994.0,ca180e470c6141c06e5bb7c7280b610f2f583976.h5,398.99826097488403
9,EmployeeBee,2.0,-,1.0,input|sep5x5_64|avg_pool3x3|sep5x5_128|sep5x5_64|max_pool3x3|output,0.6626999974250793,0.6626999974250793,5.0,59538602.0,844faed5322452e7f35b6cec0f384adc860d797f.h5,404.74079608917236
10,OnlookerBee,0.0,0,1.0,input|batch_norm|sep3x3_128|dropout|sep3x3_128|max_pool3x3|output,0.6747999787330627,0.6747999787330627,5.0,118518954.0,b8cbbc2e79fe570d2a7ccf2249298cc88cd0ca8e.h5,414.5335614681244
11,OnlookerBee,1.0,1,1.0,input|dropout|sep3x3_128|sep3x3_64|sep5x5_64|dropout|output,0.6825000047683716,0.6825000047683716,5.0,59533994.0,27c72867206baa096054da76ac53e418d5bbcc5c.h5,395.41924929618835
12,OnlookerBee,2.0,2,1.0,input|sep5x5_64|avg_pool3x3|batch_norm|sep5x5_64|max_pool3x3|output,0.6330000162124634,0.6626999974250793,4.0,59523114.0,90fc20bd18b6fe078e79e95ae929e9793d5e48af.h5,310.46031379699707
13,OnlookerBee,3.0,1,1.0,input|dropout|sep3x3_128|sep3x3_64|sep5x5_64|sep5x5_32|output,0.6175000071525574,0.6825000047683716,4.0,30046474.0,5ba605ecd4aa4acd4f67be7e2068d41b8e1a0c9f.h5,315.226859331131
14,EmployeeBee,0.0,-,2.0,input|batch_norm|sep3x3_128|dropout|sep3x3_128|dropout|output,0.6916000247001648,0.6916000247001648,5.0,118518954.0,615fd5d06a58c1a7e911afc28291502fd55fd3d9.h5,417.3353888988495
15,EmployeeBee,1.0,-,2.0,input|batch_norm|sep5x5_32|sep3x3_128|dropout|sep5x5_128|output,0.6244999766349792,0.6244999766349792,4.0,118522858.0,91cf660fda17d4e7a732a315b97fc8fd139c4c42.h5,342.3020603656769
16,EmployeeBee,2.0,-,2.0,input|sep5x5_32|sep5x5_128|sep5x5_64|sep3x3_32|sep5x5_64|output,0.10000000149011612,0.10000000149011612,1.0,59538218.0,3fdc7774f6c364076f354ed8e638f383566444eb.h5,85.84367513656616
17,OnlookerBee,0.0,2,2.0,input|sep5x5_32|sep5x5_128|sep5x5_64|dropout|sep5x5_64|output,0.5939000248908997,0.5939000248908997,4.0,59538410.0,f50d0e620a5b6509224e771c403c76a338787062.h5,330.5226221084595
18,OnlookerBee,1.0,2,2.0,input|sep5x5_32|dropout|sep5x5_64|dropout|sep5x5_64|output,0.6128000020980835,0.6128000020980835,4.0,59524842.0,3f723f7c88133b1612c27aca1f208423f18967dc.h5,323.2233262062073
19,OnlookerBee,2.0,1,2.0,input|batch_norm|sep5x5_32|sep5x5_32|dropout|sep5x5_128|output,0.6256999969482422,0.6256999969482422,4.0,118505514.0,4728f606b7227c3d3ed69a88671e15534ef02996.h5,334.5568115711212
20,OnlookerBee,3.0,2,2.0,input|dropout|dropout|sep5x5_64|dropout|sep5x5_64|output,0.5788000226020813,0.6128000020980835,4.0,59522986.0,66766cf56a965baecc7bafaf125c63dfe7409807.h5,315.4161648750305
21,EmployeeBee,0.0,-,3.0,input|sep5x5_64|sep5x5_64|sep3x3_128|sep3x3_128|dropout|output,0.6291999816894531,0.6291999816894531,4.0,118531946.0,a647f115f64e1dfa7437f0c73053cd9d6c354648.h5,350.82602190971375
22,EmployeeBee,1.0,-,3.0,input|batch_norm|sep3x3_32|sep5x5_32|dropout|sep5x5_128|output,0.6342999935150146,0.6342999935150146,4.0,118505002.0,1f143a3b2ab97c732b0c44c754900a5cfb9a59c7.h5,329.9060809612274
23,EmployeeBee,2.0,-,3.0,input|sep3x3_64|sep3x3_128|batch_norm|avg_pool3x3|sep5x5_32|output,0.2053000032901764,0.2053000032901764,1.0,30041994.0,ca0222be9c10502c961f27b8020b697f5cb0e037.h5,81.45961833000183
24,OnlookerBee,0.0,1,3.0,input|batch_norm|sep3x3_32|sep5x5_32|max_pool3x3|sep5x5_128|output,0.6945000290870667,0.6945000290870667,5.0,118505002.0,ec9900bf3d2da3593f7a9a03bead69cd67c3832c.h5,405.75379037857056
25,OnlookerBee,1.0,2,3.0,input|sep3x3_64|sep3x3_128|batch_norm|avg_pool3x3|sep3x3_128|output,0.10010000318288803,0.2053000032901764,1.0,118525930.0,618856e57a01e44a293528ff0980cd73781690a0.h5,86.09047818183899
26,OnlookerBee,2.0,1,3.0,input|batch_norm|sep3x3_32|sep5x5_32|avg_pool3x3|sep5x5_128|output,0.6848999857902527,0.6945000290870667,5.0,118505002.0,4bfa5e5b9637d9ff0d42507e5087f67080a3f735.h5,404.5051488876343
27,OnlookerBee,3.0,1,3.0,input|batch_norm|sep3x3_32|sep5x5_32|max_pool3x3|sep3x3_64|output,0.6965000033378601,0.6965000033378601,5.0,59519978.0,b9f45d1b6c7d7da902c26ea91f207bc2048918c8.h5,390.6676025390625
