,bee_type,bee_id,bee_parent,itr,candidate,fitness,center_fitness,epochs,params,weights_filename,time
0,EmployeeBee,0.0,-,0.0,input|sep5x5_128|sep3x3_32|avg_pool3x3|sep5x5_128|output,0.7099999785423279,0.7099999785423279,5.0,118512042.0,07ed2f8dad8f13696d9e744bd2cee462ce1aeb5e.h5,96.20630431175232
1,EmployeeBee,1.0,-,0.0,input|dropout|sep5x5_128|sep5x5_128|sep3x3_128|output,0.6956999897956848,0.6956999897956848,5.0,118539114.0,358a49e299a35d9c323b54943b8db3b3439d6eee.h5,93.93491125106812
2,EmployeeBee,2.0,-,0.0,input|sep5x5_32|sep3x3_32|sep5x5_128|sep5x5_128|output,0.6741999983787537,0.6741999983787537,5.0,118524650.0,274b18d5fd5aaaabf71fec8e61a5ff944d88cad1.h5,85.12194871902466
3,OnlookerBee,0.0,0,0.0,input|sep3x3_64|sep3x3_32|avg_pool3x3|sep5x5_128|output,0.7034000158309937,0.7099999785423279,5.0,118506794.0,b0f90cbfb47656ed8b26f980b761c416b3e88b41.h5,78.24222946166992
4,OnlookerBee,1.0,0,0.0,input|sep5x5_128|sep3x3_32|avg_pool3x3|avg_pool3x3|output,0.7124999761581421,0.7124999761581421,5.0,30033418.0,ef3753a581827723cea745e79ef46216b2ad953c.h5,40.84614419937134
5,OnlookerBee,2.0,0,0.0,input|sep5x5_128|sep3x3_32|max_pool3x3|avg_pool3x3|output,0.72079998254776,0.72079998254776,5.0,30033418.0,8b8041c313c083792a229c325740fb92026c7efe.h5,43.249436140060425
6,OnlookerBee,3.0,2,0.0,input|sep5x5_32|dropout|sep5x5_128|sep5x5_128|output,0.6887999773025513,0.6887999773025513,5.0,118523306.0,90745adf269408a0e12c75c2b0c9dd758d8ced61.h5,86.88442921638489
7,EmployeeBee,0.0,-,1.0,input|sep3x3_64|sep5x5_128|sep5x5_128|dropout|output,0.7088000178337097,0.7088000178337097,5.0,118528746.0,e8312d95a4586b556713d30f17b94e323037bbf3.h5,92.39392566680908
8,EmployeeBee,1.0,-,1.0,input|dropout|sep5x5_128|max_pool3x3|sep3x3_128|output,0.6926000118255615,0.6956999897956848,5.0,118519402.0,833ecbec2aba78eb6c25371106fe8165917f2741.h5,82.21732974052429
9,EmployeeBee,2.0,-,1.0,input|sep5x5_32|dropout|sep5x5_64|sep5x5_128|output,0.6898999810218811,0.6898999810218811,5.0,118511402.0,d73c1aa6e30b077304f11a07a514a5e236294205.h5,80.59364581108093
10,OnlookerBee,0.0,1,1.0,input|dropout|sep5x5_128|dropout|sep3x3_128|output,0.6823999881744385,0.6956999897956848,5.0,118519402.0,cb46360d0c2a0921824e2415ab532ae8d943a45a.h5,75.54980874061584
11,OnlookerBee,1.0,1,1.0,input|dropout|sep5x5_128|sep5x5_128|batch_norm|output,0.6294999718666077,0.6956999897956848,5.0,118521706.0,961e9afe76a5adcc37cbba1a1b13ffcdbaf1c562.h5,79.87505030632019
12,OnlookerBee,2.0,0,1.0,input|sep3x3_64|sep5x5_128|sep5x5_128|sep3x3_128|output,0.7024000287055969,0.7088000178337097,5.0,118546410.0,06f48ae523ec86627d240eefda8af8690b1ebc23.h5,97.65216255187988
13,OnlookerBee,3.0,1,1.0,input|dropout|batch_norm|sep5x5_128|sep3x3_128|output,0.6887000203132629,0.6956999897956848,5.0,118519466.0,577d4bf1d344897747e35de83ef4ca45b42254c2.h5,79.42038679122925
14,EmployeeBee,0.0,-,2.0,input|dropout|sep5x5_128|sep5x5_128|dropout|output,0.7005000114440918,0.7088000178337097,5.0,118521450.0,96bce9801aea8eed977432ab6b39175512f39ae1.h5,85.89526176452637
15,EmployeeBee,1.0,-,2.0,input|sep3x3_128|sep3x3_128|avg_pool3x3|dropout|output,0.7236999869346619,0.7236999869346619,5.0,118518890.0,ae04e1d773e9a01b49cefbe41cb27807eb43fdc0.h5,78.44687557220459
16,EmployeeBee,2.0,-,2.0,input|avg_pool3x3|sep3x3_128|avg_pool3x3|sep5x5_32|output,0.6924999952316284,0.6924999952316284,5.0,30034954.0,7060416c98558f197295c657c25279e79d3cc5fa.h5,50.10521411895752
17,OnlookerBee,0.0,1,2.0,input|sep3x3_128|max_pool3x3|avg_pool3x3|dropout|output,0.7010999917984009,0.7236999869346619,5.0,118501226.0,ff7c7ce3e49d661155eec1accb4c1b6937935c5e.h5,78.18110799789429
18,OnlookerBee,1.0,2,2.0,input|dropout|sep3x3_128|avg_pool3x3|sep5x5_32|output,0.708899974822998,0.708899974822998,5.0,30034954.0,c85bfadc8809f70f4aa6fda2bd84f00eba0ebd7b.h5,50.047484397888184
19,OnlookerBee,2.0,1,2.0,input|sep3x3_128|sep3x3_128|sep5x5_128|dropout|output,0.7102000117301941,0.7236999869346619,5.0,118538602.0,647b59d23022092d3cb9a4bf05062ee3ac3a5e7a.h5,95.74503874778748
20,OnlookerBee,3.0,1,2.0,input|sep3x3_128|sep3x3_128|avg_pool3x3|batch_norm|output,0.6814000010490417,0.7236999869346619,5.0,118519146.0,7c6a9e7d34b1712878b7ae2ba5b64fe1a703d8ef.h5,83.10204339027405
21,EmployeeBee,0.0,-,3.0,input|sep3x3_32|avg_pool3x3|sep5x5_128|sep5x5_128|output,0.7070000171661377,0.7070000171661377,5.0,118522794.0,a4e6d8ced3e88f3eac5b539eb032d203a167941c.h5,82.07622981071472
22,EmployeeBee,1.0,-,3.0,input|sep3x3_64|sep5x5_128|max_pool3x3|sep5x5_64|output,0.7117000222206116,0.7117000222206116,5.0,59538090.0,2320bb97b36314ffc0853f2a6e383e3bc8605e77.h5,65.73724365234375
