,bee_type,bee_id,bee_parent,itr,candidate,fitness,center_fitness,epochs,params,weights_filename,time
0,EmployeeBee,0.0,-,0.0,input|batch_norm|sep3x3_32|batch_norm|avg_pool3x3|output,0.644599974155426,0.644599974155426,5.0,30024586.0,32c3fca69256adcd9aa276a5702a4fb5d4bab0fe.h5,491.28327775001526
1,EmployeeBee,1.0,-,0.0,input|max_pool3x3|sep5x5_64|sep5x5_128|avg_pool3x3|output,0.6796000003814697,0.6796000003814697,5.0,118509546.0,55d1afc19d4761bfc777a9fe069fd61521c11e79.h5,571.7600436210632
2,EmployeeBee,2.0,-,0.0,input|batch_norm|batch_norm|avg_pool3x3|max_pool3x3|output,0.583899974822998,0.583899974822998,5.0,30023242.0,a95d3a96acbd8f9c70d292bb327f2f3534f4b8df.h5,475.167964220047
3,OnlookerBee,0.0,0,0.0,input|batch_norm|sep3x3_32|sep5x5_128|avg_pool3x3|output,0.6564000248908997,0.6564000248908997,5.0,118503146.0,fc2dff3e21b0928f70d6fb6cd0705b727e55b473.h5,562.3654184341431
4,OnlookerBee,1.0,0,0.0,input|dropout|sep3x3_32|sep5x5_128|avg_pool3x3|output,0.6837999820709229,0.6837999820709229,5.0,118503082.0,bf91dbd3699420675b8228e22d4e0d70fd5d2bbc.h5,564.413740158081
5,OnlookerBee,2.0,1,0.0,input|sep3x3_32|sep5x5_64|sep5x5_128|avg_pool3x3|output,0.6891000270843506,0.6891000270843506,5.0,118510890.0,de758b283e91ac5c105e8fce7a1e756d90a6314c.h5,572.2733280658722
6,OnlookerBee,3.0,2,0.0,input|batch_norm|batch_norm|sep3x3_32|max_pool3x3|output,0.6184999942779541,0.6184999942779541,5.0,30024586.0,57a6d1f6aa595bec5670e8bb8de6457859069dae.h5,490.83724093437195
7,EmployeeBee,0.0,-,1.0,input|sep5x5_128|sep5x5_128|sep3x3_64|sep3x3_64|output,0.6514000296592712,0.6514000296592712,5.0,59553194.0,f25247edde6b6ab9016426b5578848e92372271d.h5,561.9648914337158
8,EmployeeBee,1.0,-,1.0,input|sep5x5_64|sep5x5_64|sep5x5_128|avg_pool3x3|output,0.6823999881744385,0.6891000270843506,5.0,118515306.0,1f3cc5d502e11890d8d386efc309b8601570dcc9.h5,561.3695447444916
9,EmployeeBee,2.0,-,1.0,input|sep5x5_128|batch_norm|sep3x3_32|max_pool3x3|output,0.6187000274658203,0.6187000274658203,5.0,30033674.0,dbc42a0244211eb7ec9ffbebdeb44b21256a7962.h5,544.9445989131927
10,OnlookerBee,0.0,2,1.0,input|sep5x5_128|batch_norm|sep3x3_32|avg_pool3x3|output,0.6628999710083008,0.6628999710083008,5.0,30033674.0,2ecb05202a4650c9144791b1e577a81b5e1d1fab.h5,502.74481225013733
11,OnlookerBee,1.0,0,1.0,input|sep5x5_128|avg_pool3x3|sep3x3_64|sep3x3_64|output,0.6486999988555908,0.6514000296592712,5.0,59533482.0,e3b3c964b025f59bc72a407e231542f183f86fff.h5,576.6627426147461
12,OnlookerBee,2.0,2,1.0,input|sep5x5_128|dropout|sep3x3_32|avg_pool3x3|output,0.6424999833106995,0.6628999710083008,5.0,30033418.0,5d36d79c09d08aecc0f05d36ee124e089b965b5c.h5,506.99349880218506
13,OnlookerBee,3.0,0,1.0,input|sep5x5_128|sep5x5_128|avg_pool3x3|sep3x3_64|output,0.6740999817848206,0.6740999817848206,5.0,59548458.0,76e4348fb01c51e3b91ef637abe23df550c5391a.h5,562.0102405548096
14,EmployeeBee,0.0,-,2.0,input|avg_pool3x3|max_pool3x3|batch_norm|sep3x3_64|output,0.6456000208854675,0.6456000208854675,5.0,59516778.0,49f5a6d225bea3aa5f633eb8bd6ddcd12b1123fa.h5,502.487530708313
15,EmployeeBee,1.0,-,2.0,input|dropout|dropout|max_pool3x3|batch_norm|output,0.5943999886512756,0.5943999886512756,5.0,30023178.0,e7c2598d2e10454b21d25b0cfd331c851cce93aa.h5,518.3046550750732
16,EmployeeBee,2.0,-,2.0,input|sep5x5_128|sep5x5_32|sep5x5_128|sep3x3_64|output,0.6480000019073486,0.6480000019073486,5.0,59541098.0,1796d4a4f7a517297ea944a776d80845da48a251.h5,565.1616561412811
