,bee_type,bee_id,bee_parent,itr,candidate,fitness,center_fitness,epochs,params,weights_filename,time
0,EmployeeBee,0.0,-,0.0,input|max_pool3x3|sep5x5_128|sep3x3_64|dropout|output,0.9860000014305115,0.9860000014305115,5.0,44848106.0,f3c5cb7e6601ae94489eebdf57438c3331193ba5.h5,124.37086176872253
1,EmployeeBee,1.0,-,0.0,input|avg_pool3x3|sep5x5_64|sep5x5_128|sep5x5_32|output,0.9763000011444092,0.9763000011444092,5.0,22702666.0,7fd6d17c262ded58cd7ae3077d00d7d8373ffbe7.h5,98.44727087020874
2,EmployeeBee,2.0,-,0.0,input|max_pool3x3|sep3x3_64|max_pool3x3|dropout|output,0.9837999939918518,0.9837999939918518,5.0,44836074.0,06034ccfa2bab23feec53b22d13adbdaeaac5f56.h5,97.62773609161377
3,OnlookerBee,0.0,2,0.0,input|sep5x5_128|sep3x3_64|max_pool3x3|dropout|output,0.983299970626831,0.9837999939918518,5.0,44848106.0,fcaea10208f38626c5fdf9c9b56686e725aea1f1.h5,100.44717502593994
4,OnlookerBee,1.0,1,0.0,input|avg_pool3x3|dropout|sep5x5_128|sep5x5_32|output,0.9800999760627747,0.9800999760627747,5.0,22694858.0,57dd6b16973647cd835d4e19d8ccace42edcedae.h5,94.43028521537781
5,OnlookerBee,2.0,2,0.0,input|max_pool3x3|sep3x3_64|max_pool3x3|avg_pool3x3|output,0.9783999919891357,0.9837999939918518,5.0,44836074.0,6643901ab2126ff9596c328641a225639c72376c.h5,95.34616041183472
6,OnlookerBee,3.0,0,0.0,input|max_pool3x3|sep5x5_128|sep5x5_128|dropout|output,0.9764999747276306,0.9860000014305115,5.0,89160746.0,c29e538a8121b17ae75e2a30d0decf38b2c73649.h5,129.59186720848083
7,EmployeeBee,0.0,-,1.0,input|max_pool3x3|sep3x3_64|sep3x3_64|dropout|output,0.9760000109672546,0.9860000014305115,5.0,44840810.0,4848bbac5a081057cf1d1b368046eef80b98bbb2.h5,95.82893705368042
8,EmployeeBee,1.0,-,1.0,input|batch_norm|dropout|sep5x5_128|sep5x5_32|output,0.9760000109672546,0.9800999760627747,5.0,22694922.0,12572084c21cb193ebf5c66ba1f291ba17819b9b.h5,93.64983320236206
9,EmployeeBee,2.0,-,1.0,input|sep5x5_128|sep5x5_32|batch_norm|sep5x5_32|output,0.9704999923706055,0.9704999923706055,5.0,22696778.0,14ed93a542a82e7bda7148e2884f013ed719b166.h5,96.76029229164124
10,OnlookerBee,0.0,0,1.0,input|max_pool3x3|sep5x5_128|avg_pool3x3|dropout|output,0.9822999835014343,0.9860000014305115,5.0,89141034.0,ced33d0882c2e643aac9346c96f16ec421d44811.h5,127.77053952217102
11,OnlookerBee,1.0,2,1.0,input|sep5x5_128|sep5x5_32|sep3x3_128|sep5x5_32|output,0.9782999753952026,0.9782999753952026,5.0,22706698.0,aca0e6db1166c940e20ea4a5fc351edd3f6da7cf.h5,103.23427176475525
12,OnlookerBee,2.0,1,1.0,input|avg_pool3x3|dropout|sep3x3_128|sep5x5_32|output,0.9799000024795532,0.9800999760627747,5.0,22694346.0,243b630745c9dd615fa5dc49d6255992fe43e6a5.h5,95.60198593139648
13,OnlookerBee,3.0,2,1.0,input|sep3x3_64|sep5x5_32|sep3x3_128|sep5x5_32|output,0.9821000099182129,0.9821000099182129,5.0,22700426.0,f9f59cdd914685609252dc90807d1933d90786bf.h5,99.97614908218384
14,EmployeeBee,0.0,-,2.0,input|dropout|sep5x5_64|max_pool3x3|batch_norm|output,0.9559999704360962,0.9559999704360962,5.0,44836714.0,16b1010cccd07b4ff707baa84b0ecf19125ad362.h5,96.36744999885559
15,EmployeeBee,1.0,-,2.0,input|batch_norm|sep3x3_128|sep3x3_32|sep3x3_64|output,0.9805999994277954,0.9805999994277954,5.0,44845930.0,9f25a8bec83f3c69f73b7c3b88809fc943a07486.h5,100.08869767189026
16,EmployeeBee,2.0,-,2.0,input|dropout|sep5x5_64|sep5x5_128|max_pool3x3|output,0.9861000180244446,0.9861000180244446,5.0,89148842.0,d89ae00123ac9392f76e66c91f0111d52c2e1e55.h5,134.62905430793762
17,OnlookerBee,0.0,1,2.0,input|batch_norm|sep3x3_128|sep3x3_32|sep5x5_32|output,0.9815999865531921,0.9815999865531921,5.0,22694218.0,786b9ffdd0199042692a54fa2cf234960d6e9d54.h5,92.43351793289185
18,OnlookerBee,1.0,1,2.0,input|batch_norm|sep3x3_128|sep5x5_64|sep5x5_32|output,0.9801999926567078,0.9815999865531921,5.0,22702218.0,66994587a6895269b8b2ceb2979a986b8c4afafd.h5,99.01711082458496
19,OnlookerBee,2.0,1,2.0,input|batch_norm|sep3x3_128|sep5x5_64|sep5x5_32|output,0.9822999835014343,0.9822999835014343,5.0,22702218.0,66994587a6895269b8b2ceb2979a986b8c4afafd.h5,97.20674681663513
20,OnlookerBee,3.0,1,2.0,input|batch_norm|sep3x3_32|sep5x5_64|sep5x5_32|output,0.9801999926567078,0.9822999835014343,5.0,22690506.0,343d31c569c0cce5eb4edf26fc900ed0df272897.h5,94.32513189315796
21,EmployeeBee,0.0,-,3.0,input|dropout|sep5x5_64|sep5x5_128|batch_norm|output,0.9807999730110168,0.9807999730110168,5.0,89149098.0,5ac240ef3f7f577538568fdc3f950c3bc7e9c86b.h5,136.38549137115479
22,EmployeeBee,1.0,-,3.0,input|sep3x3_128|sep3x3_32|sep3x3_32|max_pool3x3|output,0.9830999970436096,0.9830999970436096,5.0,22693642.0,92a65a674b14880eed2cb56650af8ec6f14b862e.h5,98.57982778549194
23,EmployeeBee,2.0,-,3.0,input|sep3x3_32|sep5x5_64|sep5x5_128|max_pool3x3|output,0.9868999719619751,0.9868999719619751,5.0,89150186.0,88a5db600fe7b5cc7b51834e36766a969c4ee83e.h5,121.0894227027893
24,OnlookerBee,0.0,1,3.0,input|sep3x3_128|sep3x3_32|sep5x5_32|max_pool3x3|output,0.9847999811172485,0.9847999811172485,5.0,22694154.0,1f6ba0f1a1319b3f43a322149dd2c17211776753.h5,93.19966959953308
25,OnlookerBee,1.0,0,3.0,input|dropout|sep5x5_64|dropout|batch_norm|output,0.9693999886512756,0.9807999730110168,5.0,44836714.0,08b417f447b6ee2eabd83082a709b0a082f6f7fb.h5,95.60012650489807
26,OnlookerBee,2.0,2,3.0,input|sep3x3_32|max_pool3x3|sep5x5_128|max_pool3x3|output,0.9854999780654907,0.9868999719619751,5.0,89142378.0,882b22a02c4afb62064e3b36fe97848622ec0050.h5,128.19768261909485
27,EmployeeBee,0.0,-,4.0,input|batch_norm|sep3x3_64|sep5x5_64|sep5x5_32|output,0.9814000129699707,0.9814000129699707,5.0,22694410.0,78c1bf650dfa5772606d529ff880d228a172346c.h5,93.72039675712585
28,EmployeeBee,1.0,-,4.0,input|sep3x3_128|sep3x3_32|sep3x3_64|max_pool3x3|output,0.984499990940094,0.9847999811172485,5.0,44845866.0,7444900fd2454cf92765e1a2d027d4ea15cef327.h5,101.25326943397522
29,EmployeeBee,2.0,-,4.0,input|max_pool3x3|sep3x3_32|sep5x5_32|sep5x5_128|output,0.9794999957084656,0.9794999957084656,5.0,89144234.0,f3569924b40161517d738a258a0d5d76f575cfbd.h5,113.57498908042908
30,OnlookerBee,0.0,1,4.0,input|sep3x3_128|sep3x3_32|sep5x5_64|max_pool3x3|output,0.9858999848365784,0.9858999848365784,5.0,44846378.0,95135e5b46f6c24539888e2ff84b01b5e5438741.h5,101.34385418891907
31,OnlookerBee,1.0,0,4.0,input|sep3x3_32|sep3x3_64|sep5x5_64|sep5x5_32|output,0.98089998960495,0.9814000129699707,5.0,22695690.0,d4cae9fcf222244d15e2df866caea14b3d59b53e.h5,95.1168920993805
32,OnlookerBee,2.0,0,4.0,input|batch_norm|sep5x5_128|sep5x5_64|sep5x5_32|output,0.9810000061988831,0.9814000129699707,5.0,22702730.0,d1e4ffbd1bbe2bdd7129cb70636e9ae441fc6e7b.h5,100.4522922039032
33,OnlookerBee,3.0,1,4.0,input|sep3x3_128|sep3x3_32|sep5x5_64|dropout|output,0.9833999872207642,0.9858999848365784,5.0,44846378.0,5e95a19475dbfffcc6c6a2f1e80c1457b9579c57.h5,102.58739233016968
34,EmployeeBee,0.0,-,5.0,input|batch_norm|sep5x5_64|dropout|dropout|output,0.9804999828338623,0.9804999828338623,5.0,44836650.0,51c40ae3e3ac78fd55772b4cdc48ac638437388c.h5,98.05904746055603
35,EmployeeBee,1.0,-,5.0,input|dropout|sep5x5_128|avg_pool3x3|max_pool3x3|output,0.9857000112533569,0.9857000112533569,5.0,89141034.0,e22ce5ff1e7c692e9ac7a300268758e9a4b68857.h5,111.99011421203613
36,EmployeeBee,2.0,-,5.0,input|max_pool3x3|sep5x5_128|sep5x5_32|sep5x5_128|output,0.9847000241279602,0.9847000241279602,5.0,89153386.0,498af146c859531cf43ff0591168943bd6c8447b.h5,146.51763701438904
37,OnlookerBee,0.0,2,5.0,input|max_pool3x3|sep5x5_128|dropout|sep5x5_128|output,0.9858999848365784,0.9858999848365784,5.0,89160746.0,5ea5ba9a4d8947e9b00be469a3cc170645e17e3d.h5,131.67653274536133
38,OnlookerBee,1.0,2,5.0,input|max_pool3x3|sep5x5_128|batch_norm|sep5x5_128|output,0.9811000227928162,0.9858999848365784,5.0,89161002.0,c0013d823f88ca2589c83adcc63b7301d7729d83.h5,162.31826782226562
39,OnlookerBee,2.0,0,5.0,input|batch_norm|sep5x5_64|avg_pool3x3|dropout|output,0.9812999963760376,0.9812999963760376,5.0,44836650.0,c53a5b952b6e264ef14b028877b308ddf5507a4f.h5,97.53897833824158
40,OnlookerBee,3.0,0,5.0,input|batch_norm|sep5x5_64|avg_pool3x3|sep3x3_32|output,0.9782000184059143,0.9812999963760376,5.0,22688138.0,fa65b1cdd2586cf1d21f1e21f5fdcaaafe581c7c.h5,96.6268322467804
41,EmployeeBee,0.0,-,6.0,input|max_pool3x3|batch_norm|sep5x5_64|sep3x3_32|output,0.9793999791145325,0.9793999791145325,5.0,22688138.0,6e7932a77bf16f67aa3ef9c0c0c9d6557f507376.h5,93.56562900543213
42,EmployeeBee,1.0,-,6.0,input|dropout|sep5x5_128|sep5x5_128|max_pool3x3|output,0.9837999939918518,0.9857000112533569,5.0,89160746.0,a8dcf1e0f1b2c5c0eea8c44dcd1133803bbb45a0.h5,133.3988938331604
43,EmployeeBee,2.0,-,6.0,input|sep3x3_128|dropout|sep3x3_64|sep5x5_64|output,0.9854999780654907,0.9854999780654907,5.0,44853354.0,0becb3a14536ee6247e7177cfc4192dbebc921ba.h5,131.89563298225403
44,OnlookerBee,0.0,2,6.0,input|sep3x3_128|dropout|sep5x5_64|sep5x5_64|output,0.9842000007629395,0.9854999780654907,5.0,44855402.0,6f0b4e422e78157440d6667b9bd45b812ad71358.h5,133.30778574943542
45,OnlookerBee,1.0,0,6.0,input|max_pool3x3|batch_norm|sep5x5_64|avg_pool3x3|output,0.9740999937057495,0.9793999791145325,5.0,44836650.0,f06301b91e799418c3bca735514e9d80b6adb344.h5,97.47796320915222
46,OnlookerBee,2.0,1,6.0,input|dropout|max_pool3x3|avg_pool3x3|max_pool3x3|output,0.9379000067710876,0.9857000112533569,5.0,22682506.0,03505393a574dd9c2ff00ed637c49fff40f5c1bb.h5,91.77021646499634
47,OnlookerBee,3.0,1,6.0,input|dropout|sep5x5_128|avg_pool3x3|batch_norm|output,0.9817000031471252,0.9857000112533569,5.0,89141290.0,18e37540fb2d87579c2472ec5eca1dc91976ca4d.h5,116.68856596946716
48,EmployeeBee,0.0,-,7.0,input|max_pool3x3|sep5x5_128|sep5x5_64|sep3x3_32|output,0.9794999957084656,0.9794999957084656,5.0,22701642.0,196d1fec48ec138272bf63451a442da057a4e540.h5,103.90264701843262
49,EmployeeBee,1.0,-,7.0,input|dropout|sep5x5_64|dropout|avg_pool3x3|output,0.9824000000953674,0.9824000000953674,5.0,44836586.0,d476f292a158d485b9d3cff9f08b1157c2f2ba73.h5,98.597496509552
