,bee_type,bee_id,bee_parent,itr,candidate,fitness,center_fitness,epochs,weights_filename,time
0,EmployeeBee,0.0,-,0.0,input|sc_1|sep3x3_16|sep5x5_32|sep3x3_8|sep5x5_32|output,0.5855000019073486,0.5855000019073486,5.0,890e6914436c7a5d4f03c30f0ddd4ec496d083eb.h5,599.4385964870453
1,EmployeeBee,1.0,-,0.0,input|sep5x5_8|dropout|sep3x3_8|sep3x3_32|output,0.5561000108718872,0.5561000108718872,5.0,010fdfa27edabb4eeb7cb3b04da77232388d6a06.h5,546.091236114502
2,OnlookerBee,0.0,1,0.0,input|sep3x3_8|dropout|sep3x3_8|sep3x3_32|output,0.5659999847412109,0.5659999847412109,5.0,6bd7890e5454968ef90089f30869b62a064ff2c0.h5,500.9057946205139
3,OnlookerBee,1.0,0,0.0,input|sc_1|sep3x3_16|sep5x5_8|sep3x3_8|sep5x5_32|output,0.5990999937057495,0.5990999937057495,5.0,2589efa19f26aa55a602a7bb1456f5e420cb24fe.h5,575.797031879425
4,OnlookerBee,2.0,0,0.0,input|sc_1|sep3x3_16|sep5x5_8|sep5x5_8|sep5x5_32|output,0.5916000008583069,0.5990999937057495,5.0,fd4863e5d939cfa6a8f0c13e7f4c83e3e2813653.h5,544.9830086231232
5,EmployeeBee,0.0,-,1.0,input|batch_norm|max_pool3x3|avg_pool3x3|avg_pool3x3|output,0.5842000246047974,0.5842000246047974,5.0,b47e7c73867b87cc36c44ac8932ba37e2442a42b.h5,483.55959820747375
6,EmployeeBee,1.0,-,1.0,input|sep3x3_8|sep5x5_16|sep3x3_8|sep3x3_32|output,0.5774000287055969,0.5774000287055969,5.0,ef15a46fafc99d30dbc110416dca2164b01fdbfb.h5,566.0094232559204
7,OnlookerBee,0.0,1,1.0,input|max_pool3x3|sep5x5_16|sep3x3_8|sep3x3_32|output,0.6061000227928162,0.6061000227928162,5.0,5b04e2a7e5dbcd3d06cbfa1f3a0900c8cfdb3b88.h5,573.0154850482941
8,OnlookerBee,1.0,0,1.0,input|batch_norm|max_pool3x3|avg_pool3x3|sep5x5_32|output,0.6327999830245972,0.6327999830245972,5.0,edb324a82e16bd8e5271cbf99dbb019b7b32d64c.h5,521.6805903911591
9,OnlookerBee,2.0,0,1.0,input|avg_pool3x3|max_pool3x3|avg_pool3x3|sep5x5_32|output,0.6370999813079834,0.6370999813079834,5.0,88cb4a8dfe5b4437482e4a8bc3da6c94fd628aa2.h5,561.7086992263794
