,bee_type,bee_id,bee_parent,itr,candidate,fitness,center_fitness,epochs,weights_filename,time
0,EmployeeBee,0.0,-,0.0,input|batch_norm|max_pool3x3|sep1x1_16|output,0.527899980545044,0.527899980545044,5.0,e9d573e213b513b56c693e2a8cff0a504c5bf806.h5,518.1656544208527
1,EmployeeBee,1.0,-,0.0,input|max_pool3x3|sc_1|batch_norm|dropout|output,0.4593999981880188,0.4593999981880188,5.0,41eb963488584f2f31e28ccb7e3e89536d55cb06.h5,555.3870642185211
2,OnlookerBee,0.0,0,0.0,input|batch_norm|max_pool3x3|avg_pool3x3|output,0.4214000105857849,0.527899980545044,5.0,112ffb0f86cabba2c0684acff2094dccdfc48a3b.h5,508.4540424346924
3,OnlookerBee,1.0,0,0.0,input|batch_norm|avg_pool3x3|sep1x1_16|output,0.5529999732971191,0.5529999732971191,5.0,76645d8c30b8e56f6f9c458db2073b539316bf40.h5,583.2991020679474
4,OnlookerBee,2.0,1,0.0,input|max_pool3x3|sc_1|sep1x1_64|dropout|output,0.46939998865127563,0.46939998865127563,5.0,611617de34d6aa9c7607899d9cf28051401f53eb.h5,551.9079585075378
5,EmployeeBee,0.0,-,1.0,input|sep1x1_16|avg_pool3x3|sep1x1_16|output,0.5049999952316284,0.5529999732971191,5.0,cd18e0ce0aab07a2ee54e4f649165e86ece6066d.h5,493.9471254348755
6,EmployeeBee,1.0,-,1.0,input|sep1x1_16|sc_1|sep1x1_64|dropout|output,0.4948999881744385,0.4948999881744385,5.0,75f3b946392093d02f65572dd2925387c56b9003.h5,580.902813911438
7,OnlookerBee,0.0,1,1.0,input|sep3x3_64|sc_1|sep1x1_64|dropout|output,0.5228000283241272,0.5228000283241272,5.0,791a75070f1c25061e6b8605cc53bcd27ab1ef4b.h5,558.8141589164734
8,OnlookerBee,1.0,0,1.0,input|batch_norm|sep3x3_32|sep1x1_16|output,0.5855000019073486,0.5855000019073486,5.0,912953612aa65a4aca9640a52ceba4c79e5cd3d3.h5,496.2082154750824
9,OnlookerBee,2.0,1,1.0,input|sep3x3_64|sep1x1_64|dropout|output,0.5196999907493591,0.5228000283241272,5.0,6311e82f1bd702a6a2c68fe24eb1fcaf43a84273.h5,550.8645286560059
10,EmployeeBee,0.0,-,2.0,input|max_pool3x3|max_pool3x3|avg_pool3x3|output,0.259799987077713,0.259799987077713,5.0,77a3e860466a5208ae54a2a15f78cd7ced2b1f05.h5,503.29060769081116
11,EmployeeBee,1.0,-,2.0,input|sc_1|sep3x3_32|sep1x1_64|sep3x3_32|output,0.4641999900341034,0.4641999900341034,5.0,abe95b7fa717a95c10ea13e9e4b31c6025098bbe.h5,525.6793217658997
12,OnlookerBee,0.0,0,2.0,input|max_pool3x3|sep1x1_16|avg_pool3x3|output,0.5652999877929688,0.5652999877929688,5.0,7c0b40d953b071a37e6ef68edd1d44c293e77204.h5,536.6472833156586
13,OnlookerBee,1.0,0,2.0,input|max_pool3x3|avg_pool3x3|avg_pool3x3|output,0.37290000915527344,0.5652999877929688,5.0,ddd4bd4696de18b71d5b2b14f94f829a9fbed480.h5,629.0328409671783
14,OnlookerBee,2.0,1,2.0,input|sep3x3_32|sep1x1_64|sep3x3_32|output,0.10000000149011612,0.4641999900341034,5.0,19e0107da12f3bb2184a99b5962f064853eb2b27.h5,524.9459102153778
15,EmployeeBee,0.0,-,3.0,input|max_pool3x3|sep1x1_16|sep3x3_64|output,0.5076000094413757,0.5652999877929688,5.0,fe9ae5410c3c8cedfa3f9db03dd32ffd9686c16f.h5,577.3056104183197
16,EmployeeBee,1.0,-,3.0,input|sc_1|sep3x3_32|sep1x1_64|sep3x3_16|output,0.5011000037193298,0.5011000037193298,5.0,99a33436f35f0e84f5e0a915be31d5a7fb71934c.h5,632.4594240188599
17,OnlookerBee,0.0,1,3.0,input|sc_1|sep3x3_32|avg_pool3x3|sep3x3_16|output,0.5404000282287598,0.5404000282287598,5.0,8f0e9178097e2ec89d686d9fc770c74aa78c96a5.h5,505.2407829761505
18,OnlookerBee,1.0,0,3.0,input|max_pool3x3|dropout|avg_pool3x3|output,0.3711000084877014,0.5652999877929688,5.0,b283fc6cfc25c5ac204981410e5647318add2454.h5,630.5916633605957
19,OnlookerBee,2.0,1,3.0,input|sc_1|sep3x3_32|avg_pool3x3|batch_norm|output,0.430400013923645,0.5404000282287598,5.0,d88ea4f4892886a2f7b0d874b1ce68a22287e312.h5,516.6755316257477
20,EmployeeBee,0.0,-,4.0,input|sep3x3_16|batch_norm|sep3x3_32|output,0.5814999938011169,0.5814999938011169,5.0,f3433e3df710d13007bc8bdda455785c85606db7.h5,554.0719931125641
21,EmployeeBee,1.0,-,4.0,input|sep3x3_64|dropout|sep1x1_32|output,0.3546000123023987,0.3546000123023987,5.0,62671a7071bf677a2778790fc752aad82e140f6d.h5,559.2807106971741
22,OnlookerBee,0.0,0,4.0,input|sep3x3_16|sep1x1_64|sep3x3_32|output,0.10000000149011612,0.5814999938011169,5.0,b27f3661accd4a7cf95cbf9416a9ca2b48e5c0cf.h5,561.0205359458923
23,OnlookerBee,1.0,1,4.0,input|sep3x3_64|avg_pool3x3|sep1x1_32|output,0.4918999969959259,0.4918999969959259,5.0,4350119e59831ad8e71e9c5dae2e217f4f1d7b0d.h5,521.6516687870026
24,OnlookerBee,2.0,0,4.0,input|sep3x3_16|batch_norm|avg_pool3x3|output,0.5953999757766724,0.5953999757766724,5.0,07da7a003cda3b9a11f5ff8d0f1d40e63cda6523.h5,492.56489610671997
25,EmployeeBee,0.0,-,5.0,input|sep3x3_16|batch_norm|sep1x1_64|output,0.571399986743927,0.5953999757766724,5.0,1c955a8a77fe6c99f2f7ffe03d0cc252bcd80d94.h5,576.7607827186584
26,EmployeeBee,1.0,-,5.0,input|sep3x3_64|max_pool3x3|sep1x1_32|output,0.5134000182151794,0.5134000182151794,5.0,7091e7d88c2e62e10597e1f704c89ce51b457bd2.h5,597.5945360660553
27,OnlookerBee,0.0,1,5.0,input|sep3x3_64|max_pool3x3|dropout|output,0.5809000134468079,0.5809000134468079,5.0,2c85c2694c4fbcdca6e783e4b34100d043d2b051.h5,580.7401866912842
28,OnlookerBee,1.0,0,5.0,input|sep3x3_16|batch_norm|sep1x1_16|output,0.5356000065803528,0.5953999757766724,5.0,3b8df43b0ccefb983d1f4ee32a46c14456934f5d.h5,496.38374400138855
29,OnlookerBee,2.0,0,5.0,input|sep3x3_16|sep3x3_64|avg_pool3x3|output,0.5023999810218811,0.5953999757766724,5.0,219abe4ab41fb761a76dfe942dbb9e402260d620.h5,584.355325460434
30,EmployeeBee,0.0,-,6.0,input|sc_2|sep1x1_64|sep3x3_16|sep1x1_64|output,0.551800012588501,0.551800012588501,5.0,94a9a5b73ad66d65ccf1abef56cd7885dfe2d9e2.h5,591.3601310253143
31,EmployeeBee,1.0,-,6.0,input|sep3x3_64|max_pool3x3|avg_pool3x3|output,0.5709999799728394,0.5809000134468079,5.0,fcfad8d41a368c0f81e760421e4ec2a21c4eb9a5.h5,615.73211145401
32,OnlookerBee,0.0,1,6.0,input|sep1x1_32|max_pool3x3|dropout|output,0.589900016784668,0.589900016784668,5.0,50d7b8eeee51a3165e6847bb7d8abd9d82d000c6.h5,515.2925565242767
