,arch,epoch,val_acc,val_loss,train_acc,train_loss,eval_idx,type,bee_id,itr
0,input|dropout|max_pool3x3|sep5x5_64|sc_1|sep5x5_128|output,1,0.3472,2.466,0.4447,2.4127,0,EmployeeBee,0,1
1,input|dropout|max_pool3x3|sep5x5_64|sc_1|sep5x5_128|output,2,0.4502,2.1224,0.6271,1.0797,0,EmployeeBee,0,1
2,input|dropout|max_pool3x3|sep5x5_64|sc_1|sep5x5_128|output,3,0.5402,2.3379,0.719,0.8171,0,EmployeeBee,0,1
3,input|dropout|max_pool3x3|sep5x5_64|sc_1|sep5x5_128|output,4,0.6425,1.1491,0.7996,0.5967,0,EmployeeBee,0,1
4,input|dropout|max_pool3x3|sep5x5_64|sc_1|sep5x5_128|output,5,0.6569,1.2696,0.8529,0.4379,0,EmployeeBee,0,1
5,input|avg_pool3x3|avg_pool3x3|sep5x5_64|sc_1|sep5x5_128|output,1,0.5515,1.2376,0.4675,1.8139,1,EmployeeBee,1,1
6,input|avg_pool3x3|avg_pool3x3|sep5x5_64|sc_1|sep5x5_128|output,2,0.6644,0.975,0.6465,1.0171,1,EmployeeBee,1,1
7,input|avg_pool3x3|avg_pool3x3|sep5x5_64|sc_1|sep5x5_128|output,3,0.6882,0.918,0.7434,0.7446,1,EmployeeBee,1,1
8,input|avg_pool3x3|avg_pool3x3|sep5x5_64|sc_1|sep5x5_128|output,4,0.6941,0.9264,0.8265,0.5091,1,EmployeeBee,1,1
9,input|avg_pool3x3|avg_pool3x3|sep5x5_64|sc_1|sep5x5_128|output,5,0.6957,1.1271,0.8857,0.338,1,EmployeeBee,1,1
10,input|sc_1|dropout|sc_2|sep5x5_128|max_pool3x3|sc_1|sep3x3_128|output,1,0.4496,1.5341,0.3447,5.2256,2,EmployeeBee,2,1
11,input|sc_1|dropout|sc_2|sep5x5_128|max_pool3x3|sc_1|sep3x3_128|output,2,0.5137,1.5788,0.521,1.3735,2,EmployeeBee,2,1
12,input|sc_1|dropout|sc_2|sep5x5_128|max_pool3x3|sc_1|sep3x3_128|output,3,0.6332,1.0542,0.606,1.1461,2,EmployeeBee,2,1
13,input|sc_1|dropout|sc_2|sep5x5_128|max_pool3x3|sc_1|sep3x3_128|output,4,0.6205,1.5479,0.6637,0.9876,2,EmployeeBee,2,1
14,input|sc_1|dropout|sc_2|sep5x5_128|max_pool3x3|sc_1|sep3x3_128|output,5,0.6426,1.3156,0.7173,0.8425,2,EmployeeBee,2,1
15,input|avg_pool3x3|sep3x3_256|sep5x5_64|sc_1|sep5x5_128|output,1,0.5598,1.2313,0.4227,1.6241,3,OnlookerBee,0,1
16,input|avg_pool3x3|sep3x3_256|sep5x5_64|sc_1|sep5x5_128|output,2,0.6237,1.0918,0.6166,1.0945,3,OnlookerBee,0,1
17,input|avg_pool3x3|sep3x3_256|sep5x5_64|sc_1|sep5x5_128|output,3,0.6585,1.0468,0.714,0.8258,3,OnlookerBee,0,1
18,input|avg_pool3x3|sep3x3_256|sep5x5_64|sc_1|sep5x5_128|output,4,0.7008,0.9027,0.7894,0.6045,3,OnlookerBee,0,1
19,input|avg_pool3x3|sep3x3_256|sep5x5_64|sc_1|sep5x5_128|output,5,0.6901,1.1422,0.8572,0.4203,3,OnlookerBee,0,1
20,input|max_pool3x3|max_pool3x3|sep5x5_64|sc_1|sep5x5_128|output,1,0.5573,1.2732,0.4539,2.1728,4,OnlookerBee,1,1
21,input|max_pool3x3|max_pool3x3|sep5x5_64|sc_1|sep5x5_128|output,2,0.6271,1.105,0.6313,1.0633,4,OnlookerBee,1,1
22,input|max_pool3x3|max_pool3x3|sep5x5_64|sc_1|sep5x5_128|output,3,0.6829,0.9106,0.717,0.8209,4,OnlookerBee,1,1
23,input|max_pool3x3|max_pool3x3|sep5x5_64|sc_1|sep5x5_128|output,4,0.6711,0.9705,0.7916,0.6137,4,OnlookerBee,1,1
24,input|max_pool3x3|max_pool3x3|sep5x5_64|sc_1|sep5x5_128|output,5,0.7052,1.0949,0.8529,0.4349,4,OnlookerBee,1,1
25,input|max_pool3x3|max_pool3x3|sep5x5_256|sc_1|sep5x5_128|output,1,0.5488,1.2839,0.4543,2.1482,5,OnlookerBee,2,1
26,input|max_pool3x3|max_pool3x3|sep5x5_256|sc_1|sep5x5_128|output,2,0.6758,0.9412,0.6682,0.9655,5,OnlookerBee,2,1
27,input|max_pool3x3|max_pool3x3|sep5x5_256|sc_1|sep5x5_128|output,3,0.7106,0.9164,0.7763,0.6593,5,OnlookerBee,2,1
28,input|max_pool3x3|max_pool3x3|sep5x5_256|sc_1|sep5x5_128|output,4,0.7126,0.9202,0.8614,0.4184,5,OnlookerBee,2,1
29,input|max_pool3x3|max_pool3x3|sep5x5_256|sc_1|sep5x5_128|output,5,0.7286,1.1029,0.9103,0.2767,5,OnlookerBee,2,1
